Intersection Name,Intersection Count
madmax,1411
mythril,8825
semgrep,358
smartcheck,259
verismart,54681
"madmax, mythril",80
"madmax, semgrep",0
"madmax, smartcheck",10
"madmax, verismart",415
"mythril, semgrep",3
"mythril, smartcheck",110
"mythril, verismart",6289
"semgrep, smartcheck",0
"semgrep, verismart",20
"smartcheck, verismart",161
"madmax, mythril, semgrep",0
"madmax, mythril, smartcheck",0
"madmax, mythril, verismart",63
"madmax, semgrep, smartcheck",0
"madmax, semgrep, verismart",0
"madmax, smartcheck, verismart",10
"mythril, semgrep, smartcheck",0
"mythril, semgrep, verismart",1
"mythril, smartcheck, verismart",63
"semgrep, smartcheck, verismart",0
"madmax, mythril, semgrep, smartcheck",0
"madmax, mythril, semgrep, verismart",0
"madmax, mythril, smartcheck, verismart",0
"madmax, semgrep, smartcheck, verismart",0
"mythril, semgrep, smartcheck, verismart",0
"madmax, mythril, semgrep, smartcheck, verismart",0
