address,location,vulnerability,swc_id,severity,vulnerable_contract,vulnerable_function,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x535ccbef2ab0ec562613f03bd435cbe8c338813a.sol,86.0,Integer Arithmetic Bugs,101,High,LILYToken,tokenImage,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x535ccbef2ab0ec562613f03bd435cbe8c338813a.sol,86.0,Integer Arithmetic Bugs,101,High,LILYToken,tokenImage,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,102.0,Integer Arithmetic Bugs,101,High,SwapEncryption,ResetName,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,102.0,Integer Arithmetic Bugs,101,High,SwapEncryption,ResetName,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,107.0,Integer Arithmetic Bugs,101,High,SwapEncryption,ResetSymbol,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,107.0,Integer Arithmetic Bugs,101,High,SwapEncryption,ResetSymbol,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,20.0,Integer Arithmetic Bugs,101,Low,SwapEncryption,ResetName,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,20.0,Integer Arithmetic Bugs,101,Low,SwapEncryption,ResetSymbol,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000e45ffaab3552f1eba4b2799b6803322c12.sol,20.0,Integer Arithmetic Bugs,101,Low,SwapEncryption,ResetName,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0xe9a4d74afae17c610c3a5feba2b780c264f4474b.sol,,Integer Arithmetic Bugs,101,High,ERC1155Metadata,uri,0.5.12,SWC-101
/bdata2/sc/dataset/mainnet/0x17C719E19D33261081279e8b720ff9397a2F7c90.sol,919.0,Integer Arithmetic Bugs,101,High,ACL,hasPermission,0.4.24,SWC-101
/bdata2/sc/dataset/mainnet/0x000000b6bb405573c85332f2598ae3fbf6a18270.sol,161.0,Integer Arithmetic Bugs,101,High,GasOptimizedEther,resetSymbol,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000b6bb405573c85332f2598ae3fbf6a18270.sol,161.0,Integer Arithmetic Bugs,101,High,GasOptimizedEther,resetSymbol,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000b6bb405573c85332f2598ae3fbf6a18270.sol,156.0,Integer Arithmetic Bugs,101,High,GasOptimizedEther,resetName,0.4.26,SWC-101
/bdata2/sc/dataset/mainnet/0x000000b6bb405573c85332f2598ae3fbf6a18270.sol,156.0,Integer Arithmetic Bugs,101,High,GasOptimizedEther,resetName,0.4.26,SWC-101
